Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6MGeHYLmXpbO0DkhU9jVu0,"Eatin' Good","Eatin' Good","Woodcamp",2024-09-20,221904,64,false,,2025-10-15T21:21:14Z,"rally house,house","Thrive Music",0.868,0.747,11,-9.132,0,0.053,0.142,0.34,0.0819,0.879,125.997,4
spotify:track:4sCCZW0ezEPAexAidFsoVm,"I Wouldn't Want to Be Like You","I Robot","The Alan Parsons Project",1977-07-08,203346,59,false,,2025-10-11T03:06:01Z,"progressive rock,classic rock","Arista/Legacy",0.657,0.353,1,-19.724,1,0.0643,0.471,0.0000157,0.0946,0.24,100.824,4
spotify:track:59cPOVxrn3Yjwydl1pullI,"Wiegenlied, Op. 49, No. 4 (Arr. for Cello and Piano) [Brahms Lullaby]","Songs from the Arc of Life","Johannes Brahms;Yo-Yo Ma;Kathryn Stott",2015-09-18,109800,59,false,,2025-10-05T04:44:00Z,"classical,classical piano,chamber music,orchestral","Masterworks",0.184,0.00833,3,-33.503,1,0.0519,0.989,0.596,0.104,0.211,61.541,3
spotify:track:3VlXTyJyEKnWDBYYcEqy80,"Wiegenlied, Op. 49, No. 4 (Arr. for Cello and Piano) [Brahms Lullaby]","""Wiegenlied"" & Other Brahms Masterpieces","Johannes Brahms;Yo-Yo Ma;Kathryn Stott",2025-04-01,109800,54,false,,2025-10-05T04:38:38Z,"classical,classical piano,chamber music,orchestral","Sony Classical",0.267,0.00833,3,-33.503,1,0.0498,0.989,0.596,0.104,0.218,77.026,1
spotify:track:6iJPjc9OffjP08s1muac3I,"Resonance x Genesis x Not allowed","Resonance x Genesis x Not allowed","mikeeysmind",2023-05-30,235044,56,false,,2025-09-29T02:23:53Z,"","mikeeysmind",0.442,0.688,7,-10.461,1,0.0585,0.0251,0.914,0.295,0.3,161.476,3
spotify:track:33CNGDTSd3EaEjHkzVMldf,"Angola","Causes Perdues Et Musiques Tropicales","Bernard Lavilliers;Bonga",2010-01-01,245933,44,false,,2025-09-29T02:01:53Z,"chanson,variété française,french pop,french house,kizomba,fado","Universal Music Division Barclay",0.778,0.428,7,-10.597,0,0.0441,0.801,0.0297,0.124,0.561,94.979,4
spotify:track:3suf1WpGLuPpq2DXkkmyK5,"Forever","Trick","Alex G",2012-11-05,149640,65,false,,2025-09-29T01:58:49Z,"","Lucky Number",0.644,0.569,9,-8.911,1,0.041,0.611,0.912,0.219,0.787,85.001,4
spotify:track:0k4t4wNx40CtGOYYJwmzm5,"Moon Plate","California Nebula","缺省",2017-03-16,490188,32,false,,2025-09-29T01:55:50Z,"shoegaze,chinese indie,taiwanese indie,dream pop,chinese rock,slowcore","太合麥田（天津）音樂有限公司",0.402,0.778,0,-7.461,1,0.0455,0.5,0.883,0.0955,0.161,139.901,4
spotify:track:0NWPxcsf5vdjdiFUI8NgkP,"Hey Joe","Are You Experienced","Jimi Hendrix",1967-05-12,210160,67,false,,2025-09-28T19:08:36Z,"psychedelic rock,classic rock,acid rock,blues rock","Legacy Recordings",0.346,0.768,9,-5.695,1,0.0377,0.00603,0.38,0.0244,0.532,169.492,4
spotify:track:0wJoRiX5K5BxlqZTolB2LD,"Purple Haze","Are You Experienced","Jimi Hendrix",1967-05-12,170813,68,false,,2025-09-28T19:08:30Z,"psychedelic rock,classic rock,acid rock,blues rock","Legacy Recordings",0.533,0.905,2,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,4
spotify:track:5WqUVlRrPPhvOzSNPF1c6d,"Azerbaijan Technology","Azerbaijan Technology","Luca Maxim",2025-07-25,140879,44,true,,2025-09-27T03:45:04Z,"","Children Of Khan",0.642,0.696,11,-7.09,1,0.0842,0.0055,0.00000209,0.563,0.435,123.017,4
spotify:track:5hnHpaVwsEVxOK2BT7mnZd,"Elementary","A Time Like This","Zane Alexander",2017-09-30,263414,0,false,,2025-09-27T03:43:12Z,"chillwave,synthwave,vaporwave","Zane Alexander",0.641,0.373,0,-11.914,1,0.043,0.889,0.958,0.0873,0.468,164.031,4
