Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4E6wpXABj8XosZEPXZz2OK,"Bleed","ObZen","Meshuggah",2008-03-07,442733,38,false,yuf8m40bafql87jwxb236yybx,2021-11-18T16:19:03Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Atomic Fire Records",0.242,0.998,11,-5.64,1,0.0894,0.00000812,0.88,0.284,0.18,114.642,4
spotify:track:0Wwv2wSkfKJ3OHBYph5FUP,"Future Breed Machine","Destroy Erase Improve","Meshuggah",1995-05-12,348626,0,false,yuf8m40bafql87jwxb236yybx,2021-11-18T16:19:19Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Nuclear Blast",0.454,0.97,1,-6.759,1,0.13,0.00102,0.084,0.299,0.157,87.968,4
spotify:track:3j63DQ8vYUyRIbSuyl9kfW,"Do Not Look Down","Koloss","Meshuggah",2012-03-23,283800,0,false,yuf8m40bafql87jwxb236yybx,2021-11-18T16:19:30Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Nuclear Blast",0.467,0.981,1,-3.496,1,0.104,0.0000378,0.0249,0.207,0.212,159.966,4
spotify:track:3pi9JXPYTWs6o2JmibQS3y,"Stengah","Nothing","Meshuggah",2002-09-16,338253,0,false,yuf8m40bafql87jwxb236yybx,2021-11-18T16:19:58Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Nuclear Blast",0.288,0.917,1,-5.279,1,0.162,0.000103,0.642,0.267,0.355,67.545,4
spotify:track:3doXY6Mbglh7gPSV0d3eut,"I Am Colossus","Koloss","Meshuggah",2012-03-23,283493,0,false,yuf8m40bafql87jwxb236yybx,2021-11-18T16:20:09Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Nuclear Blast",0.389,0.956,3,-4.316,0,0.0693,0.00000796,0.0992,0.265,0.221,180.055,3
