Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4u8tboad7w6dQ5A5GbQOPy,"Hello My Old Heart - Ten Year Anniversary","Hello My Old Heart (Ten Year Anniversary)","The Oh Hellos",2021-12-01,268431,37,false,yuf8m40bafql87jwxb236yybx,2023-06-08T12:21:12Z,"folk pop,christian folk,indie folk","No Coincidence Records",0.31,0.0592,5,-21.78,1,0.0365,0.955,0.00332,0.129,0.18,171.348,4
spotify:track:4tN2kX3tYCr1R4qCSS2LDV,"Things That Make It Warm","Sleepyhead","Cavetown",2020-03-27,185500,45,false,yuf8m40bafql87jwxb236yybx,2023-06-08T13:07:21Z,"bedroom pop","Sire",0.716,0.16,2,-16.997,1,0.0424,0.643,0,0.11,0.513,119.877,3
spotify:track:167NK7xPIRNKnSmUE9dBrQ,"Idea of Her","Man’s Best Friend","Cavetown",2021-06-04,168960,51,false,yuf8m40bafql87jwxb236yybx,2023-06-08T13:08:34Z,"bedroom pop","Sire",0.518,0.423,9,-8.818,1,0.0284,0.79,0,0.0765,0.323,129.905,3
spotify:track:1YlulsUKDduOmC7WxvXYPW,"Painkiller","Free Time","Ruel",2019-09-13,213600,62,false,yuf8m40bafql87jwxb236yybx,2023-06-10T13:46:52Z,"","RCA Records Label",0.683,0.42,5,-6.51,1,0.0542,0.0875,0,0.225,0.469,128.621,4
spotify:track:4KkjSqBzF06TS1fhasBQWH,"GROWING UP IS _____","4TH WALL","Ruel",2023-03-03,233587,53,true,yuf8m40bafql87jwxb236yybx,2023-06-10T13:50:44Z,"","RCA Records Label",0.674,0.719,0,-5.69,1,0.029,0.0012,0.000118,0.231,0.494,112.542,4
spotify:track:14JaytPzvtwvCxCpsEVyYE,"Rakata","Rakata","The Jungle Giants;RENEE",2023-06-01,182384,31,false,yuf8m40bafql87jwxb236yybx,2023-06-10T14:08:18Z,"latin indie,mexican indie","Amplifire Music",0.659,0.821,0,-5.682,1,0.0365,0.117,0.000395,0.34,0.536,144.039,4
spotify:track:61EuOHKJepAeaXUTGUqfH4,"Sol Del Sur","Sol Del Sur","Sun Room",2020-07-10,145298,57,false,yuf8m40bafql87jwxb236yybx,2023-06-19T01:47:31Z,"surf rock","Sun Room",0.557,0.603,11,-12.043,1,0.029,0.00191,0.171,0.0887,0.765,122.07,4
spotify:track:5rxMKmvHoRtwlnaYyxMGHb,"Fun","Sol Del Sur","Sun Room",2020-07-10,149849,44,false,yuf8m40bafql87jwxb236yybx,2023-06-19T01:49:04Z,"surf rock","Sun Room",0.432,0.572,9,-13.811,1,0.0287,0.209,0.624,0.0967,0.652,169.848,4
spotify:track:3cpx2SEwJKSmjjNjiCIL3K,"Raindrops","Raindrops","Under The Rug",2021-07-22,186000,36,false,yuf8m40bafql87jwxb236yybx,2023-06-23T00:52:56Z,"","Under The Rug",0.629,0.303,0,-12.799,0,0.0841,0.66,0.000334,0.107,0.238,105.453,4
spotify:track:6Zo9evZOeHKax94htvVBBr,"Turkey Vulture","Homesick for Another World","Under The Rug",2023-02-17,203118,29,false,yuf8m40bafql87jwxb236yybx,2023-06-23T00:56:05Z,"","Under The Rug",0.655,0.567,3,-7.195,1,0.0362,0.366,0.0000604,0.0739,0.725,129.995,4
